SRR5755588	SRR5755589	SRR5755590	SRR5755591	SRR5755592	SRR5755593
Gm14325	818	767	500	478	478	454
Gm14326	355	344	254	329	345	371
Gm14327	15	11	15	6	5	8
Gm14328	29	25	18	40	36	23
Gm14329	0	0	0	0	0	0
Gm14330	0	0	0	0	0	0
Gm14331	0	0	0	0	0	0
Gm14332	0	0	0	0	0	0
Gm14333	0	0	0	0	0	0
Gm14334	0	0	0	0	0	0
Gm14335	5	17	10	11	9	7
Gm14336	1	4	1	2	4	8
Gm14337	1	4	2	2	0	2
Gm14339	0	0	0	0	0	0
Gm14340	0	0	0	0	0	0
Gm14341	1	2	1	0	0	0
Gm14342	2	3	1	0	2	2
Gm14343	0	0	0	0	0	0
Gm14344	0	0	0	0	0	0
Gm14345	0	0	0	0	0	0
Gm14346	0	0	0	0	0	0
Gm14347	0	0	0	0	0	0
Gm14348	0	0	0	0	0	0
Gm14349	0	0	0	0	0	0
Gm14350	0	0	0	0	0	0
Gm14351	0	0	0	0	0	0
Gm14352	0	0	0	0	0	0
Gm14353	0	0	0	0	0	0
Gm14354	0	0	0	0	0	0
Gm14355	0	0	0	0	0	0
Gm14356	0	0	0	0	0	0
Gm14357	0	0	0	0	0	0
Gm14358	0	0	0	0	0	0
Gm14359	0	0	0	0	0	0
Gm14360	0	0	0	0	0	0
Gm14361	0	0	0	0	0	0
Gm14362	0	0	0	0	0	0
Gm14363	0	0	0	0	0	0
Gm14364	0	0	0	0	0	0
Gm14365	0	0	0	0	0	0
Gm14366	0	0	0	0	0	0
Gm14367	0	0	0	0	0	0
Gm14368	0	0	0	0	0	0
Gm14369	0	0	0	0	0	0
Gm14370	0	0	0	0	0	0
Gm14371	0	1	0	0	0	0
Gm14372	0	0	0	0	2	0
Gm14373	16	4	12	36	18	27
Gm14374	0	0	0	0	0	0
Gm14375	0	0	0	0	0	0
Gm14376	2	1	2	2	0	2
Gm14377	0	1	1	3	0	0
Gm14378	150	195	103	51	54	73
Gm14379	11	8	1	15	6	6
Gm14380	0	0	0	0	0	0
Gm14381	0	0	0	0	0	0
Gm14382	0	0	7	0	0	0
Gm14383	51	51	34	28	25	30
Gm14385	0	0	0	0	0	0
Gm14387	0	0	0	0	0	0
Gm14388	22	20	18	35	19	22
Gm14389	0	0	0	0	0	0
Gm14390	0	0	0	0	0	0
Gm14391	2	4	1	2	2	2
Gm14392	0	0	0	0	0	1
Gm14393	21	15	12	10	11	19
Gm14394	0	0	0	0	0	0
Gm14395	0	0	0	0	0	0
Gm14396	0	0	0	0	0	0
Gm14397	0	0	0	0	3	2
Gm14398	12	18	8	45	27	39
Gm14399	82	70	56	45	73	56
Gm14400	8	14	10	6	11	6
Gm14401	1	5	3	2	3	1
Gm14402	0	0	0	0	0	0
Gm14403	1347	1262	875	873	887	913
Gm14404	0	0	0	1	0	0
Gm14405	0	0	0	0	0	0
Gm14406	3	0	1	1	1	1
Gm14407	4	8	0	6	2	4
Gm14408	0	0	0	0	0	0
Gm14409	2	2	2	1	0	1
Gm14410	386	426	316	499	468	492
Gm14411	15	14	9	4	9	11
Gm14412	13	25	17	25	15	13
Gm14413	4	0	3	1	1	0
Gm14414	551	663	458	685	673	754
Gm14415	3	7	9	0	1	2
Gm14416	1	1	0	0	1	0
Gm14417	0	0	0	0	1	0
Gm14418	77	78	47	94	94	91
Gm14419	7	2	3	0	9	6
Gm14420	454	337	238	292	261	267
Gm14421	2	0	2	0	4	3
Gm14422	0	0	0	0	0	0
Gm14423	0	0	0	0	0	0
Gm14424	0	0	0	0	0	0
Gm14425	0	0	0	0	1	1
Gm14426	0	0	0	0	0	0
Gm14427	0	1	0	1	1	0
Gm14428	0	0	0	0	1	0
Gm14429	4	4	2	1	0	0
Gm14430	0	0	0	0	0	0
Gm14431	0	0	0	0	0	0
Gm14432	0	0	0	0	0	1
Gm14433	0	0	0	0	0	0
Gm14434	0	0	0	0	0	0
Gm14435	0	0	0	0	0	0
Gm14436	0	0	0	0	0	0
Gm14437	0	0	0	0	0	0
Gm14438	0	0	0	0	1	0
Gm14439	21	11	20	10	5	3
Gm14440	1	0	0	0	2	0
Gm14441	1	0	0	6	1	6
Gm14442	0	0	0	0	0	0
Gm14443	19	14	8	10	8	12
Gm14444	8	10	4	2	6	4
Gm14445	0	1	0	0	0	0
Gm14446	7	1	5	9	5	0
Gm14447	29	21	20	29	26	40
Gm14448	12	29	18	11	8	7
Gm14450	0	0	0	0	0	1
Gm14451	0	0	0	0	0	0
Gm14452	0	0	0	0	0	0
Gm14453	5	3	2	3	2	4
Gm14454	0	1	0	0	0	0
Gm14455	16	27	10	5	1	6
Gm14456	1542	1391	866	1137	1220	1181
Gm14457	0	0	0	0	0	0
Gm14458	0	0	0	0	0	0
Gm14459	0	0	0	0	0	0
Gm14460	0	0	0	0	0	0
Gm14461	0	4	0	0	0	0
Gm14463	0	0	0	0	0	0
Gm14464	0	0	0	0	0	0
Gm14465	1	0	0	0	0	0
Gm14466	0	0	0	0	0	0
Gm14467	0	0	0	0	0	0
Gm14469	0	0	0	0	0	0
Gm14470	2	0	0	0	0	1
Gm14471	0	1	0	1	1	5
Gm14472	4	5	1	1	3	2
Gm14473	1	1	1	1	0	2
Gm14474	0	0	0	0	0	0
Gm14475	0	0	0	0	0	0
Gm14476	0	0	0	0	0	0
Gm14477	0	0	0	0	0	0
Gm14478	0	0	0	0	0	0
Gm14479	0	0	0	0	0	0
Gm14480	6	10	4	4	23	8
Gm14481	0	0	0	0	0	0
Gm14482	0	0	0	0	0	0
Gm14483	0	0	0	0	0	0
Gm14484	0	0	0	0	0	0
Gm14485	0	0	0	0	0	0
Gm14486	0	0	1	1	1	0
Gm14487	2	3	2	0	0	0
Gm14488	5	4	2	0	1	1
Gm14489	1	0	1	0	0	0
Gm14490	61	67	58	8	7	2
Gm14491	0	0	1	0	0	1
Gm14492	2	5	3	4	1	0
Gm14493	0	0	0	0	0	0
Gm14494	85	43	39	118	109	128
Gm14495	15	8	4	6	4	4
Gm14496	0	0	0	0	0	0
Gm14497	0	0	0	0	0	1
Gm14498	0	0	0	0	0	0
Gm14499	0	0	0	0	0	0
Gm14500	0	0	0	0	0	0
Gm14501	0	0	0	0	0	2
Gm14502	2	0	0	1	0	0
Gm14503	0	0	0	0	1	0
Gm14504	0	0	0	0	0	0
Gm14505	1	0	0	0	0	0
Gm14506	3	0	4	1	1	0
Gm14507	0	0	0	0	0	0
Gm14508	5	19	1	5	23	20
Gm14509	0	0	0	0	1	0
Gm14510	0	0	0	0	0	0
Gm14511	0	0	0	0	0	0
Gm14512	0	0	0	0	0	0
Gm14513	101	139	69	103	128	143
Gm14514	0	0	0	0	0	0
Gm14515	0	0	0	0	0	0
Gm14516	1	1	2	0	0	0
Gm14517	0	0	0	0	0	0
Gm14518	0	0	0	0	0	0
Gm14519	4	2	0	0	2	4
Gm14520	0	0	0	0	0	0
Gm14521	0	0	0	0	0	0
Gm14523	13	7	9	10	13	9
Gm14524	0	0	0	0	0	0
Gm14525	0	0	0	0	0	0
Gm14526	1	0	0	0	0	0
Gm14527	0	0	0	0	0	0
Gm14528	0	0	0	0	0	0
Gm14529	0	0	0	0	0	0
Gm14530	0	0	0	0	0	0
Gm14531	0	0	0	0	0	0
Gm14532	0	0	0	0	0	0
Gm14533	0	0	0	0	0	0
Gm14534	0	0	0	0	0	0
Gm14535	20	14	6	22	10	24
Gm14536	0	0	0	0	0	0
Gm14537	2	2	1	2	1	3
Gm14538	0	0	0	1	0	0
Gm14539	43	59	18	42	60	73
Gm14540	0	0	0	1	1	0
Gm14541	5	7	2	9	9	13
Gm14542	0	0	0	0	0	0
Gm14543	0	0	0	0	0	0
Gm14544	0	0	0	0	0	0
Gm14546	0	0	0	0	0	0
Gm14547	0	0	0	1	0	0
Gm14549	0	0	0	0	0	0
Gm14550	0	0	0	0	0	0
Gm14551	0	0	0	0	0	0
Gm14552	0	0	0	0	0	0
Gm14553	0	0	0	0	0	0
Gm14554	0	0	0	0	0	0
Gm14555	0	0	0	0	0	0
Gm14556	1	1	1	0	0	0
Gm14557	0	0	0	0	0	0
Gm14558	0	0	0	0	0	0
Gm14559	0	0	0	0	0	0
Gm14560	0	0	0	0	0	0
Gm14561	0	0	0	0	0	0
Gm14562	0	0	0	0	0	0
Gm14563	0	0	0	0	1	0
Gm14564	0	0	0	0	0	0
Gm14565	0	1	0	0	0	0
Gm14566	0	0	0	0	0	0
Gm14567	155	175	118	121	135	133
Gm14568	0	0	0	0	0	0
Gm14569	2	1	0	1	0	3
Gm14570	0	0	0	0	0	0
Gm14571	0	0	0	1	0	0
Gm14572	0	0	0	0	0	0
Gm14573	0	0	0	0	0	0
Gm14574	0	0	0	0	0	0
Gm14575	0	0	0	0	0	0
Gm14576	0	0	0	0	0	0
Gm14577	0	0	0	0	0	0
Gm14578	0	0	0	0	0	0
Gm14579	0	0	0	0	0	0
Gm14580	0	0	0	0	0	0
Gm14581	0	0	0	0	0	0
Gm14582	0	0	0	0	0	0
Gm14584	188	180	96	236	250	248
Gm14585	0	0	0	0	1	1
Gm14586	135	156	86	156	186	156
Gm14587	0	0	0	0	0	0
Gm14588	0	0	0	0	0	0
Gm14589	0	0	0	0	0	0
Gm14590	0	0	0	0	0	0
Gm14591	0	0	0	0	0	0
Gm14592	0	0	0	0	0	0
Gm14593	0	0	0	0	0	0
Gm14594	0	0	0	0	0	0
Gm14595	0	0	0	0	0	0
Gm14596	0	0	0	0	0	0
Gm14597	0	0	0	0	0	0
Gm14598	0	0	0	0	0	0
Gm14599	0	0	0	0	0	0
Gm14600	0	0	0	0	0	0
Gm14601	0	0	0	0	0	0
Gm14602	0	0	0	0	0	0
Gm14603	0	0	0	0	0	0
Gm14604	0	0	0	0	0	0
Gm14605	0	0	0	0	0	0
Gm14606	0	0	0	0	0	0
Gm14607	0	0	0	0	0	0
Gm14608	0	1	0	0	0	0
Gm14609	0	0	0	0	0	0
Gm14610	0	0	0	0	0	0
Gm14611	0	0	0	0	0	0
Gm14612	0	0	1	3	2	0
Gm14613	0	0	0	0	0	0
Gm14614	0	0	0	0	0	0
Gm14615	0	0	0	0	0	2
Gm14616	0	0	2	0	0	0
Gm14617	0	0	0	0	0	0
Gm14618	0	0	0	0	0	0
Gm14619	0	0	0	0	0	0
Gm14620	0	0	0	0	0	1
Gm14621	0	0	0	0	0	0
Gm14622	0	0	0	0	0	0
Gm14623	0	0	0	0	0	0
Gm14624	0	0	0	0	0	0
Gm14625	0	0	0	0	0	0
Gm14626	0	0	0	0	0	0
Gm14627	0	0	1	0	0	0
Gm14628	0	0	0	0	0	0
Gm14629	0	0	0	0	0	0
Gm14630	0	0	0	0	2	0
Gm14631	0	0	0	0	0	0
Gm14632	0	0	0	0	0	0
Gm14633	0	0	0	0	0	1
Gm14634	58	75	41	27	27	31
Gm14635	0	0	0	0	0	0
Gm14636	1	0	0	0	0	0
Gm14637	0	0	0	0	0	0
Gm14638	0	0	0	0	0	0
Gm14639	5	0	0	4	0	5
Gm14640	0	0	0	0	0	0
Gm14641	0	0	0	0	0	0
Gm14642	0	0	0	0	0	0
Gm14643	0	0	0	0	0	0
Gm14644	0	0	0	0	0	0
Gm14645	0	0	0	0	0	0
Gm14646	0	0	0	0	0	0
Gm14647	0	0	0	0	0	0
Gm14648	22	10	8	16	12	12
Gm14649	0	0	0	0	0	0
Gm14650	6	4	0	0	6	8
Gm14651	0	0	0	0	0	0
Gm14652	0	0	0	0	0	0
Gm14653	1	0	0	0	0	0
Gm14654	0	0	0	0	0	0
Gm14655	0	0	0	0	0	0
Gm14656	0	0	0	0	0	0
Gm14657	0	0	0	0	0	0
Gm14658	0	0	0	0	0	0
Gm14659	0	0	0	0	0	0
Gm14660	1	0	0	0	0	0
Gm14661	3	1	2	3	12	5
Gm14662	151	152	112	108	126	117
Gm14663	0	0	0	0	1	0
Gm14664	36	31	30	3	7	18
Gm14665	0	0	0	0	0	0
Gm14666	0	0	0	0	1	0
Gm14667	0	0	0	0	0	0
Gm14668	0	0	0	0	0	0
Gm14669	0	0	0	0	0	0
Gm14670	0	0	0	0	2	0
Gm14671	0	0	0	0	0	0
Gm14672	0	0	0	0	0	0
Gm14673	0	0	0	0	0	0
Gm14674	0	0	0	0	0	0
Gm14675	0	0	0	0	0	0
Gm14676	0	0	0	0	1	0
Gm14677	0	0	0	0	0	0
Gm14678	0	0	0	0	0	0
Gm14679	0	0	0	0	0	0
Gm14680	157	210	138	461	474	438
Gm14681	152	174	110	292	270	318
Gm14682	0	0	0	0	0	0
Gm14683	0	1	0	0	0	0
Gm14684	0	0	0	0	0	0
Gm14685	2	0	0	0	8	4
Gm14686	0	0	0	0	0	0
Gm14687	0	2	0	0	0	0
Gm14688	0	0	0	0	0	0
Gm14689	0	0	0	0	0	0
Gm14690	0	0	0	0	0	0
Gm14692	0	0	0	0	0	0
Gm14693	0	0	0	0	0	0
Gm14694	0	0	0	0	0	0
Gm14695	0	0	0	0	0	0
Gm14696	0	0	0	0	0	0
Gm14697	0	0	0	0	1	0
Gm14698	22	24	20	24	20	36
Gm14699	0	0	0	0	0	0
Gm14700	0	0	0	0	0	0
Gm14701	1	1	0	0	0	0
Gm14702	0	0	0	0	0	0
Gm14703	1	0	0	1	0	1
Gm14704	0	0	0	0	0	0
Gm14705	6	15	3	15	36	7
Gm14706	1	0	1	0	0	2
Gm14707	0	0	0	0	0	0
Gm14708	0	0	0	0	0	0
Gm14709	0	0	0	0	0	0
Gm14710	0	0	0	0	0	0
Gm14711	0	0	0	0	0	0
Gm14712	0	0	0	0	0	0
Gm14713	0	0	0	0	0	0
Gm14714	0	0	0	0	0	0
Gm14715	0	0	0	0	0	0
Gm14716	0	0	0	0	0	0
Gm14717	0	0	0	0	0	0
Gm14718	0	0	0	0	0	0
Gm14719	130	145	78	99	116	114
Gm14720	0	0	0	0	1	0
Gm14721	0	0	0	0	0	0
Gm14722	0	0	0	0	0	0
Gm14723	0	0	0	0	0	0
Gm14724	0	0	0	0	0	0
Gm14725	0	0	0	0	0	0
Gm14726	0	0	0	0	0	0
Gm14727	0	0	0	0	0	0
Gm14728	0	0	0	0	0	0
Gm14729	0	0	0	0	0	0
Gm14730	8	3	0	10	10	10
Gm14731	0	0	0	0	0	0
Gm14732	0	0	0	0	0	0
Gm14733	0	0	0	0	0	0
Gm14734	0	0	0	0	0	0
Gm14735	0	0	0	0	0	0
Gm14736	0	0	0	0	0	0
Gm14737	0	0	0	0	0	0
Gm14738	0	0	0	0	0	0
Gm14739	0	0	0	0	0	0
Gm14740	0	0	0	0	0	0
Gm14741	0	0	0	0	0	0
Gm14742	0	0	0	0	0	0
Gm14743	0	0	0	0	0	0
Gm14744	0	0	0	0	0	0
Gm14745	0	0	0	0	0	0
Gm14746	0	0	1	0	0	1
Gm14747	0	0	0	0	0	1
Gm14748	0	0	0	0	0	0
Gm14749	0	0	0	0	0	0
Gm14750	0	0	0	0	0	0
Gm14751	0	0	0	0	0	0
Gm14752	0	0	0	0	0	0
Gm14753	1	0	0	0	0	0
Gm14754	0	0	0	0	0	0
Gm14755	0	0	0	0	0	0
Gm14756	0	0	0	0	0	0
Gm14757	0	0	0	0	0	0
Gm14758	0	0	0	0	0	0
Gm14759	0	0	0	0	0	0
Gm14760	26	22	2	30	37	34
Gm14761	0	0	0	0	0	0
Gm14762	0	1	0	0	0	0
Gm14763	0	0	0	0	0	0
Gm14764	0	0	0	0	0	0
Gm14765	0	0	0	0	0	0
Gm14766	2	1	0	0	0	1
Gm14767	2	0	0	2	0	1
Gm14768	0	0	0	0	0	0
Gm14769	0	1	1	0	0	0
Gm14770	0	0	0	0	0	0
Gm14771	0	0	0	0	0	0
Gm14772	0	0	0	0	0	0
Gm14773	0	0	0	0	0	0
Gm14774	0	0	0	0	0	0
Gm14775	1	0	0	0	0	0
Gm14776	1	0	0	1	1	1
Gm14777	0	0	0	0	0	0
Gm14778	0	0	0	0	0	0
Gm14780	2	5	1	2	1	4
Gm14781	0	0	0	0	0	0
Gm14782	0	0	0	0	0	0
Gm14783	0	0	0	0	0	0
Gm14784	0	0	0	0	0	0
Gm14785	0	0	0	0	0	0
Gm14786	0	0	0	0	0	0
Gm14787	0	0	0	0	0	0
Gm14788	2	2	0	0	0	0
Gm14789	0	0	0	0	0	0
Gm14790	0	0	0	0	0	0
Gm14791	0	0	0	0	0	0
Gm14792	0	0	0	0	0	0
Gm14793	0	0	0	0	0	0
Gm14794	3	4	2	5	0	1
Gm14795	0	0	0	0	0	0
Gm14796	0	0	0	0	0	0
Gm14797	0	0	0	0	0	0
Gm14798	0	0	0	0	1	0
Gm14799	0	2	0	0	5	0
Gm14800	0	0	0	0	0	0
Gm14801	0	0	0	0	0	0
Gm14802	0	0	0	0	0	0
Gm14803	0	0	0	0	0	0
Gm14804	0	0	0	0	0	0
Gm14805	0	0	0	0	0	0
Gm14806	0	0	0	0	0	0
Gm14807	0	0	0	0	0	0
Gm14808	0	0	0	0	0	0
Gm14809	0	0	0	0	0	0
Gm14810	6	1	1	0	0	1
Gm14811	0	0	0	0	0	0
Gm14812	0	0	0	0	0	0
Gm14813	2	4	0	2	0	0
Gm14814	0	0	0	0	0	0
Gm14815	1	0	0	0	0	0
Gm14816	0	0	0	0	0	0
Gm14817	1	1	2	4	8	7
Gm14818	0	0	0	0	0	0
Gm14819	0	0	0	0	0	0
Gm14820	0	0	1	0	3	3
Gm14821	0	0	0	0	0	0
Gm14822	4	0	6	4	4	2
Gm14823	0	0	0	0	0	0
Gm14824	2	1	1	3	5	1
Gm14825	0	0	0	0	0	0
Gm14826	0	0	0	0	0	0
Gm14827	22	24	16	25	16	37
Gm14828	1	0	0	0	0	0
Gm14829	0	0	0	1	0	0
Gm14830	2	2	4	4	8	6
Gm14831	0	0	0	0	0	0
Gm14832	1	0	0	0	0	0
Gm14833	0	0	0	0	0	0
Gm14834	0	0	0	0	0	0
Gm14835	0	0	0	0	0	0
Gm14836	0	0	0	0	0	1
Gm14837	0	0	0	0	0	0
Gm14838	1	0	0	0	0	0
Gm14839	0	0	0	0	0	0
Gm14840	3	0	0	2	0	0
Gm14841	0	0	0	0	0	0
Gm14842	0	0	0	0	0	0
Gm14843	0	0	0	0	1	2
Gm14844	0	0	0	0	0	0
Gm14845	2	2	2	0	2	4
Gm14846	1	4	1	0	0	0
Gm14847	0	0	0	0	0	0
Gm14848	0	0	0	0	0	0
Gm14849	0	0	0	0	0	0
Gm14850	0	0	0	0	0	0
Gm14851	0	0	0	0	0	0
Gm14852	0	0	0	0	0	0
Gm14853	1	13	2	6	5	4
Gm14854	0	0	0	0	0	0
Gm14855	0	0	0	0	0	0
Gm14856	1	0	0	0	0	0
Gm14857	8	15	15	23	18	18
Gm14858	2	4	3	1	4	0
Gm14859	0	2	2	4	2	2
Gm14860	0	0	1	0	1	1
Gm14861	0	0	0	1	0	0
Gm14862	2	1	2	5	6	2
Gm14863	1	5	0	1	5	0
Gm14864	0	0	0	0	0	0
Gm14865	0	0	0	0	0	0
Gm14866	1	3	2	1	0	3
Gm14867	0	0	0	0	0	0
Gm14868	0	0	0	0	0	0
Gm14869	0	0	0	1	0	0
Gm14870	6	0	0	0	0	0
Gm14871	0	0	0	0	0	0
Gm14872	25	24	21	20	29	38
Gm14873	4	6	0	2	4	2
Gm14874	0	0	0	0	2	0
Gm14875	0	0	0	0	0	0
Gm14876	1	1	1	3	0	0
Gm14877	0	0	0	0	0	0
Gm14878	0	0	0	0	0	0
Gm14879	0	0	0	0	0	0
Gm14880	0	0	0	0	0	0
Gm14881	0	0	0	0	0	0
Gm14882	0	0	0	0	0	0
Gm14883	0	0	0	0	0	0
Gm14884	0	0	0	0	0	0
Gm14885	0	0	0	0	0	0
Gm14886	0	0	0	1	4	0
Gm14887	0	0	0	0	0	0
Gm14888	0	0	0	0	0	1
Gm14889	0	0	0	0	0	0
Gm14890	0	0	0	0	0	0
Gm14891	0	0	0	0	0	0
Gm14892	1	1	1	3	1	0
Gm14893	0	0	0	0	0	1
Gm14894	0	0	0	0	0	0
Gm14895	0	0	0	0	0	0
Gm14896	0	0	0	0	0	0
Gm14897	0	0	0	0	0	0
Gm14898	0	0	0	0	0	0
Gm14899	0	0	0	0	0	0
Gm14900	0	0	0	0	0	0
Gm14901	0	0	0	0	0	0
Gm14902	1	2	0	0	0	0
Gm14903	0	0	0	0	0	0
Gm14904	0	0	0	0	0	0
Gm14905	0	0	0	0	0	0
Gm14906	0	0	0	0	0	0
Gm14907	0	0	0	0	0	0
Gm14908	0	0	0	0	0	0
Gm14909	0	0	0	0	0	0
Gm14910	0	0	0	0	0	0
Gm14911	0	0	0	0	0	0
Gm14912	0	0	0	0	0	0
Gm14913	0	0	0	0	0	0
Gm14914	0	0	0	0	0	0
Gm14915	0	0	0	0	0	0
Gm14916	0	0	0	0	0	0
Gm14917	0	0	0	0	0	0
Gm14918	0	0	0	0	0	0
Gm14919	0	0	0	0	0	0
Gm14920	0	0	0	0	0	0
Gm14921	1	0	0	0	0	0
Gm14922	0	0	0	0	0	0
Gm14923	0	0	0	0	0	0
Gm14925	0	0	2	0	0	0
Gm14926	0	1	0	0	0	0
Gm14927	0	2	0	1	0	1
Gm14928	2	2	2	8	8	8
Gm14929	0	0	0	0	0	0
Gm14930	0	0	6	0	0	0
Gm14931	0	0	0	0	0	0
Gm14932	0	0	0	0	0	0
Gm14933	0	1	0	1	0	1
Gm14934	4	0	0	2	2	2
Gm14935	0	0	0	1	1	0
Gm14936	0	0	0	0	0	0
Gm14937	0	0	0	0	0	0
Gm14938	0	0	0	0	0	0
Gm14939	1	0	0	0	0	0
Gm14940	0	0	0	0	0	0
Gm14941	0	0	0	0	0	0
Gm14942	6	8	6	9	12	12
Gm14943	0	0	0	0	0	0
Gm14944	0	0	0	0	0	0
Gm14945	0	0	0	0	0	0
Gm14946	0	0	0	0	0	0
Gm14947	0	0	0	0	0	0
Gm14950	0	0	0	0	0	0
Gm14951	0	0	0	0	0	0
Gm14957	0	0	0	0	0	0
Gm14958	0	0	1	0	0	0
Gm14963	6	12	4	8	1	2
Gm14964	9	3	4	6	10	4
Gm14965	10	23	8	2	3	4
Gm14966	23	41	20	12	18	15
Gm14967	1	0	1	0	0	1
Gm14968	0	0	0	0	0	0
Gm14969	0	0	0	0	0	0
Gm14970	0	0	0	8	2	0
Gm14971	0	0	0	0	0	0
Gm14972	0	0	0	0	0	0
Gm14973	0	0	0	0	0	0
Gm14974	0	0	0	0	0	0
Gm14975	0	0	0	0	0	0
Gm14976	0	0	0	0	0	0
Gm14977	0	0	0	0	0	0
Gm14978	0	0	0	0	1	0
Gm14979	0	0	0	0	0	0
Gm14980	0	0	0	0	0	0
Gm14981	0	0	0	0	0	0
Gm14982	0	0	0	0	0	0
Gm14983	0	0	0	0	0	0
Gm14984	1	0	0	0	1	1
Gm14985	0	0	0	0	0	0
Gm14986	0	0	0	0	0	0
Gm14987	0	0	0	0	0	0
Gm14988	0	0	0	0	0	0
Gm14989	0	0	0	1	0	0
Gm14990	0	0	0	0	0	0
Gm14991	0	0	0	0	0	0
Gm14992	0	0	0	0	0	0
Gm14993	0	0	0	0	0	0
Gm14994	0	0	0	0	0	0
Gm14995	0	0	0	0	0	0
Gm14996	0	0	0	0	0	0
Gm14997	0	0	0	0	1	0
Gm14998	0	0	0	0	0	0
Gm14999	0	0	0	0	0	0
Gm15000	0	0	0	0	0	0
Gm15001	0	0	0	0	0	0
Gm15002	0	0	0	1	0	0
Gm15003	0	0	0	0	0	0
Gm15004	0	0	0	0	0	0
Gm15005	0	0	0	0	0	0
Gm15006	0	0	0	0	0	0
Gm15007	1	0	0	0	0	0
Gm15008	3	1	1	0	0	0
Gm15009	0	0	0	0	0	0
Gm15010	0	4	0	1	0	1
Gm15011	0	0	0	0	0	0
Gm15012	0	0	0	0	0	0
Gm15013	18	22	16	14	8	21
Gm15014	0	0	0	0	0	0
Gm15015	0	0	0	0	0	0
Gm15016	1	1	1	1	11	1
Gm15017	0	0	0	0	0	0
Gm15018	0	0	0	0	0	0
Gm15019	0	0	0	0	0	0
Gm15020	0	0	0	0	0	0
Gm15021	0	0	0	0	0	0
Gm15022	0	0	0	0	0	0
Gm15023	2	0	0	0	0	0
Gm15024	13	6	5	11	7	21
Gm15025	0	0	0	0	0	0
Gm15026	0	0	0	0	0	0
Gm15027	0	0	0	0	0	0
Gm15028	0	0	0	0	0	0
Gm15029	0	0	0	0	0	0
Gm15030	0	0	0	0	0	0
Gm15031	0	0	0	0	0	0
Gm15032	0	4	0	1	0	4
Gm15033	0	0	1	0	1	1
Gm15034	0	0	0	0	0	0
Gm15035	1	0	0	1	0	0
Gm15036	0	0	0	0	0	0
Gm15037	0	0	0	0	0	0
Gm15038	0	0	0	0	0	0
Gm15039	0	0	0	0	0	0
Gm15040	0	0	0	0	0	0
Gm15041	0	0	0	0	0	0
Gm15042	0	0	0	0	0	0
Gm15043	0	0	0	0	0	0
Gm15044	0	0	0	0	0	0
Gm15045	0	0	0	0	0	0
Gm15046	0	0	0	0	0	0
Gm15047	1	0	0	0	0	0
Gm15048	0	0	0	0	0	0
Gm15049	0	0	0	0	0	0
Gm15050	208	196	138	50	53	46
Gm15051	829	940	577	239	233	248
Gm15052	0	0	0	0	0	0
Gm15053	0	0	0	0	0	0
Gm15054	0	0	0	1	0	0
Gm15055	12	24	23	16	26	23
Gm15056	0	0	0	0	0	0
Gm15057	2	2	2	0	2	4
Gm15058	0	0	0	0	0	0
Gm15060	0	0	0	0	0	0
Gm15061	0	0	0	0	0	0
Gm15062	0	0	0	0	0	0
Gm15063	5	0	3	4	1	3
Gm15064	0	0	0	0	0	0
Gm15065	0	0	0	0	0	0
Gm15066	5	5	9	8	9	12
Gm15067	0	1	2	0	6	0
Gm15068	0	0	0	0	0	0
Gm15069	0	0	0	0	0	0
Gm15070	4	1	7	4	2	4
Gm15071	0	0	0	0	0	0
Gm15073	0	0	0	0	0	0
Gm15074	0	0	0	0	0	0
Gm15075	0	0	0	0	0	0
Gm15076	0	0	0	0	0	0
Gm15077	0	0	0	0	0	0
Gm15078	0	0	0	0	0	0
Gm15079	0	0	0	0	1	0
Gm15080	0	0	0	0	0	0
Gm15081	0	0	0	0	0	0
Gm15082	0	0	0	0	0	0
Gm15083	0	0	0	1	0	0
Gm15084	0	0	0	0	0	0
Gm15085	0	0	0	0	0	0
Gm15086	0	0	0	0	0	0
Gm15087	0	0	0	0	0	0
Gm15088	0	0	0	0	0	0
Gm15089	0	0	0	0	0	0
Gm15090	0	0	0	0	0	0
Gm15091	0	0	0	0	0	0
Gm15092	0	0	0	0	0	0
Gm15093	0	0	0	0	0	0
Gm15094	0	0	0	0	0	0
Gm15095	0	0	0	0	0	0
Gm15096	0	0	0	0	0	0
Gm15097	0	1	1	0	0	0
Gm15098	0	0	0	0	0	0
Gm15099	0	0	0	0	0	0
Gm15100	0	0	0	0	0	0
Gm15101	0	0	0	0	0	0
Gm15102	0	0	0	0	0	0
Gm15103	0	0	0	0	0	0
Gm15104	28	17	31	22	19	34
Gm15105	1	0	0	0	0	0
Gm15106	0	0	0	0	0	0
Gm15107	0	0	0	0	0	0
Gm15108	0	0	0	0	0	0
Gm15109	0	0	0	0	0	0
Gm15110	0	0	0	0	0	0
Gm15111	0	0	0	0	0	0
Gm15112	0	0	0	0	0	0
Gm15113	0	0	0	0	0	0
Gm15114	0	1	0	0	0	0
Gm15115	0	0	0	0	0	0
Gm15116	0	0	0	0	0	0
Gm15118	15	20	12	21	9	18
Gm15120	0	0	0	0	0	0
Gm15121	0	0	0	0	0	0
Gm15122	15	18	3	41	37	46
Gm15123	0	0	0	0	0	0
Gm15124	0	0	0	0	0	0
Gm15125	0	0	0	0	0	0
Gm15126	0	0	0	0	0	0
Gm15127	0	0	0	0	0	0
